,date
0," Tuesday, December 20, 2016 3:13:54 PM"
1," Tuesday, December 20, 2016 3:13 PM"
2," Tuesday, December 20, 2016 3:04 PM"
3," Tuesday, December 20, 2016 3:03 PM"
4," Tuesday, December 20, 2016 2:04 PM"
5," Tuesday, December 20, 2016 3:13:53 PM"
6," Tuesday, December 20, 2016 3:12:47 PM"
7," Tuesday, December 20, 2016 3:12:44 PM"
8," Tuesday, December 20, 2016 3:03:49 PM"
9," Tuesday, December 20, 2016 3:03:48 PM"
10," Tuesday, December 20, 2016 3:03:06 PM"
11," Tuesday, December 20, 2016 3:03:05 PM"
12," Tuesday, December 20, 2016 2:05:07 PM"
13," Tuesday, December 20, 2016 2:05:01 PM"
14," Friday, December 9, 2016 10:02:21 AM"
15," Thursday, December 8, 2016 5:13 PM"
16," Friday, December 9, 2016 10:02:09 AM"
17," Thursday, December 8, 2016 5:12:46 PM"
18," Thursday, December 8, 2016 5:12:45 PM"
19," Monday, October 31, 2016 10:53:31 AM"
20," Monday, October 31, 2016 10:51 AM"
21," Wednesday, October 26, 2016 2:56 PM"
22," Monday, October 31, 2016 10:04:32 AM"
23," Monday, September 12, 2016 9:44:51 AM"
24," Friday, September 9, 2016 3:42 PM"
25," Monday, September 12, 2016 9:44:40 AM"
26," Tuesday, August 30, 2016 9:12:08 AM"
27," Tuesday, August 30, 2016 8:22 AM"
28," Tuesday, August 30, 2016 8:22:34 AM"
29," Thursday, August 25, 2016 8:34:26 AM"
30," Thu, Aug 25, 2016 at 8:32 AM"
31," Friday, August 19, 2016 1:29:27 PM"
32," Friday, August 19, 2016 12:48 PM"
33," Friday, July 15, 2016 8:30:52 AM"
34," Thursday, July 14, 2016 5:47 PM"
35," Thursday, July 14, 2016 5:47:09 PM"
36," Tuesday, May 10, 2016 1:04:30 PM"
37," Tuesday, May 10, 2016 12:55 PM"
38," Tuesday, May 10, 2016 1:04:28 PM"
39," Tuesday, May 10, 2016 12:55:14 PM"
40," Tuesday, May 10, 2016 12:55:13 PM"
41," Wednesday, March 30, 2016 12:30:00 PM"
42," Tuesday, March 29, 2016 4:19 PM"
43," Wednesday, March 30, 2016 12:29:00 PM"
44," Tuesday, March 29, 2016 4:20 PM"
45," Wednesday, March 30, 2016 12:28:21 PM"
46," Wednesday, March 30, 2016 12:28:12 PM"
47," Wednesday, March 30, 2016 12:27:37 PM"
48," Tuesday, March 29, 2016 4:19:48 PM"
49," Tuesday, March 29, 2016 4:19:10 PM"
50," Tuesday, March 29, 2016 4:18:43 PM"
51," Monday, March 28, 2016 8:37:29 AM"
52," Monday, March 28, 2016 7:53 AM"
53," Monday, March 28, 2016 7:53:06 AM"
54," Wednesday, March 23, 2016 1:49:50 PM"
55," Wednesday, March 23, 2016 1:46 PM"
56," Wednesday, March 23, 2016 1:49:00 PM"
57," Wednesday, February 3, 2016 11:24:14 AM"
58," Wednesday, February 3, 2016 10:15 AM"
59," Wednesday, February 03, 2016 10:12 AM"
60," Wednesday, February 3, 2016 10:15:53 AM"
61," Wednesday, June 22, 2016 9:52:28 AM"
62," Wednesday, June 22, 2016 9:30 AM"
63," Tuesday, June 21, 2016 3:02 PM"
64," Wednesday, June 22, 2016 9:29:38 AM"
65," Thursday, March 24, 2016 8:29:49 AM"
66," Wednesday, March 23, 2016 9:45 PM"
67," Thursday, March 24, 2016 8:12:05 AM"
68," Wednesday, March 23, 2016 9:45:16 PM"
69," Wednesday, March 23, 2016 9:45:14 PM"
70," Wednesday, March 9, 2016 4:14:15 PM"
71," Wednesday, March 9, 2016 4:14:13 PM"
72," Wednesday, March 9, 2016 4:14:00 PM"
73," Wednesday, December 14, 2016 3:31:00 PM"
74," Wednesday, December 14, 2016 1:34 PM"
75," Wednesday, December 14, 2016 3:30:57 PM"
76," Wednesday, December 14, 2016 1:54:00 PM"
77," Wednesday, December 14, 2016 1:54 PM"
78," Wednesday, December 14, 2016 1:53:59 PM"
79," Wednesday, December 14, 2016 1:53:34 PM"
80," Wednesday, December 14, 2016 1:53:32 PM"
81," Wednesday, December 14, 2016 1:33:53 PM"
82," Wednesday, December 14, 2016 1:33:52 PM"
83," Tuesday, May 17, 2016 4:25:54 PM"
84," Tuesday, May 17, 2016 1:10 PM"
85," Tuesday, May 17, 2016 4:25:00 PM"
86," Tuesday, October 11, 2016 12:35:12 PM"
87," Tuesday, October 11, 2016 12:21 PM"
88," Tuesday, October 11, 2016 12:21:35 PM"
89," Monday, September 12, 2016 9:38:15 AM"
90," Sunday, September 11, 2016 9:08 PM"
91," Monday, September 12, 2016 9:38:11 AM"
92," Sunday, September 11, 2016 9:08:30 PM"
93," Monday, February 22, 2016 1:11:40 PM"
94," Friday, December 23, 2016 12:17:40 PM"
95," Friday, December 23, 2016 11:46:50 AM"
96," Wednesday, April 6, 2016 12:34:42 PM"
97," Wednesday, April 6, 2016 11:50 AM"
98, 04/06/2016 9:23 AM (GMT-05:00) 
99," Tuesday, April 5, 2016 4:23 PM"
100," Wednesday, April 6, 2016 9:23:10 AM"
